Subject,Trial,Type,Time
1,1,Hard ,589
1,2,Caramel ,523
1,3,Caramel,647
1,2,Hard,745
2,1,Hard,467
2,2,Caramel,404
2,3,Hard,470
2,4,Caramel,400
3,1,Caramel,386
3,2,Hard,410
3,3,Caramel,388
3,4,Hard,523
4,1,Caramel,414
4,2,Hard,491
4,3,Caramel,506
4,4,Hard,641
5,1,Hard,452
5,2,Caramel,413
5,3,Hard,620
5,4,Caramel,415
6,1,Caramel,447
6,2,Hard,507
6,3,Caramel,485
6,4,Hard,592
7,1,Hard,522
7,2,Caramel,330
7,3,Hard,511
7,4,Caramel,321
9,1,Hard,597
9,2,Caramel ,461
9,3,Hard ,572
9,4,Caramel ,443
10,1,Hard,410
10,2,Caramel,416
10,3,Hard,397
10,4,Caramel,428
11,1,Hard,456
11,2,Caramel,438
11,3,Hard,667
11,4,Caramel,447
12,1,Caramel ,413
12,2,Hard,439
12,3,Caramel ,496
12,4,Hard ,418
13,1,Hard,582
13,2,Caramel,503
13,3,Hard,567
13,4,Caramel,517
15,1,Caramel ,409
15,2,Hard,536
15,3,Caramel,403
15,4,Hard,732
16,1,Caramel,392
16,2,Hard,443
16,3,Caramel,400
16,4,Hard,385
17,1,Caramel ,512
17,2,Hard,567
17,3,Caramel ,548
17,4,Hard,720
18,1,Hard,588
18,2,Caramel,451
18,3,Hard,610
18,4,Caramel ,421
